county,rate,lower95cl,upper95cl,visits,year
Baca,NA,NA,NA,NA,2022
Bent,0,0,0,0,2011
Bent,NA,NA,NA,NA,2012
Bent,0,0,0,0,2013
Bent,NA,NA,NA,NA,2014
Bent,NA,NA,NA,NA,2015
Bent,NA,NA,NA,NA,2016
Bent,NA,NA,NA,NA,2017
Bent,NA,NA,NA,NA,2018
Bent,NA,NA,NA,NA,2019
Bent,NA,NA,NA,NA,2020
Bent,NA,NA,NA,NA,2021
Bent,0,0,0,0,2022
Boulder,4.034535158,2.052591184,6.674967063,12,2011
Boulder,4.079100661,2.150140918,6.615393027,13,2012
Boulder,3.792547926,1.903132856,6.322454414,12,2013
Boulder,6.290257722,3.711340897,9.538429265,19,2014
Boulder,4.75554403,2.565740562,7.609785535,14,2015
Boulder,5.67667787,3.313322405,8.665886852,18,2016
Boulder,3.509452842,1.772095031,5.830437997,12,2017
Boulder,5.07284974,2.939247858,7.779146934,18,2018
Boulder,3.706147494,1.926632284,6.058060921,13,2019
Boulder,3.641104794,1.856410114,6.016874149,12,2020
Boulder,5.512484465,3.254009831,8.356524321,19,2021
Boulder,5.484898507,3.228965052,8.328739682,19,2022
Broomfield,NA,NA,NA,NA,2011
Broomfield,NA,NA,NA,NA,2012
Broomfield,NA,NA,NA,NA,2013
Broomfield,NA,NA,NA,NA,2014
Broomfield,NA,NA,NA,NA,2015
Broomfield,NA,NA,NA,NA,2016
Broomfield,NA,NA,NA,NA,2017
Broomfield,NA,NA,NA,NA,2018
Broomfield,NA,NA,NA,NA,2019
Broomfield,NA,NA,NA,NA,2020
Broomfield,NA,NA,NA,NA,2021
Broomfield,NA,NA,NA,NA,2022
Chaffee,0,0,0,0,2011
Chaffee,NA,NA,NA,NA,2012
Chaffee,NA,NA,NA,NA,2013
Chaffee,NA,NA,NA,NA,2014
Chaffee,NA,NA,NA,NA,2015
Chaffee,0,0,0,0,2016
Chaffee,NA,NA,NA,NA,2017
Chaffee,NA,NA,NA,NA,2018
Chaffee,NA,NA,NA,NA,2019
Chaffee,0,0,0,0,2020
Chaffee,NA,NA,NA,NA,2021
Chaffee,0,0,0,0,2022
Cheyenne,0,0,0,0,2011
Cheyenne,0,0,0,0,2012
Cheyenne,0,0,0,0,2013
Cheyenne,0,0,0,0,2014
Cheyenne,0,0,0,0,2015
Cheyenne,0,0,0,0,2016
Cheyenne,0,0,0,0,2017
Cheyenne,NA,NA,NA,NA,2018
Cheyenne,0,0,0,0,2019
Cheyenne,NA,NA,NA,NA,2020
Cheyenne,0,0,0,0,2021
Cheyenne,NA,NA,NA,NA,2022
Clear Creek,0,0,0,0,2011
Clear Creek,0,0,0,0,2012
Clear Creek,NA,NA,NA,NA,2013
Clear Creek,0,0,0,0,2014
Clear Creek,NA,NA,NA,NA,2015
Clear Creek,NA,NA,NA,NA,2016
Clear Creek,NA,NA,NA,NA,2017
Clear Creek,NA,NA,NA,NA,2018
Clear Creek,NA,NA,NA,NA,2019
Clear Creek,0,0,0,0,2020
Clear Creek,0,0,0,0,2021
Clear Creek,0,0,0,0,2022
Conejos,0,0,0,0,2011
Conejos,0,0,0,0,2012
Conejos,NA,NA,NA,NA,2013
Conejos,NA,NA,NA,NA,2014
Conejos,0,0,0,0,2015
Conejos,NA,NA,NA,NA,2016
Conejos,0,0,0,0,2017
Conejos,NA,NA,NA,NA,2018
Conejos,NA,NA,NA,NA,2019
Conejos,NA,NA,NA,NA,2020
Conejos,0,0,0,0,2021
Conejos,0,0,0,0,2022
Costilla,0,0,0,0,2011
Costilla,0,0,0,0,2012
Costilla,0,0,0,0,2013
Costilla,0,0,0,0,2014
Costilla,0,0,0,0,2015
Costilla,0,0,0,0,2016
Costilla,0,0,0,0,2017
Costilla,0,0,0,0,2018
Costilla,0,0,0,0,2019
Costilla,0,0,0,0,2020
Costilla,0,0,0,0,2021
Costilla,0,0,0,0,2022
Crowley,NA,NA,NA,NA,2011
Crowley,NA,NA,NA,NA,2012
Crowley,NA,NA,NA,NA,2013
Crowley,0,0,0,0,2014
Crowley,0,0,0,0,2015
Crowley,NA,NA,NA,NA,2016
Crowley,NA,NA,NA,NA,2017
Crowley,0,0,0,0,2018
Crowley,NA,NA,NA,NA,2019
Crowley,NA,NA,NA,NA,2020
Crowley,NA,NA,NA,NA,2021
Crowley,0,0,0,0,2022
Custer,0,0,0,0,2011
Custer,NA,NA,NA,NA,2012
Custer,0,0,0,0,2013
Custer,0,0,0,0,2014
Custer,0,0,0,0,2015
Custer,0,0,0,0,2016
Custer,0,0,0,0,2017
Custer,0,0,0,0,2018
Custer,0,0,0,0,2019
Custer,0,0,0,0,2020
Custer,0,0,0,0,2021
Custer,0,0,0,0,2022
Delta,0,0,0,0,2011
Delta,0,0,0,0,2012
Delta,0,0,0,0,2013
Delta,0,0,0,0,2014
Delta,NA,NA,NA,NA,2015
Delta,NA,NA,NA,NA,2016
Delta,NA,NA,NA,NA,2017
Delta,NA,NA,NA,NA,2018
Delta,NA,NA,NA,NA,2019
Delta,NA,NA,NA,NA,2020
Delta,NA,NA,NA,NA,2021
Delta,NA,NA,NA,NA,2022
Denver,7.114236027,4.889333524,9.339138529,42,2011
Denver,6.793702395,4.621311131,8.966093659,40,2012
Denver,2.945863431,1.745371699,4.455435315,19,2013
Denver,3.556912499,2.026541446,5.087283552,23,2014
Denver,3.843781154,2.262272214,5.425290095,25,2015
Denver,6.182937234,4.249674456,8.116200012,43,2016
Denver,3.315020838,1.923657396,4.70638428,24,2017
Denver,5.805259516,4.005964854,7.604554177,43,2018
Denver,4.537265998,2.950957131,6.123574865,34,2019
Denver,4.422048886,2.882421118,5.961676654,34,2020
Denver,3.84747781,2.377614452,5.317341167,28,2021
Denver,6.475106589,4.547324141,8.402889037,47,2022
Dolores,0,0,0,0,2011
Dolores,0,0,0,0,2012
Dolores,0,0,0,0,2013
Dolores,0,0,0,0,2014
Dolores,0,0,0,0,2015
Dolores,0,0,0,0,2016
Dolores,0,0,0,0,2017
Dolores,0,0,0,0,2018
Dolores,0,0,0,0,2019
Dolores,0,0,0,0,2020
Dolores,0,0,0,0,2021
Dolores,0,0,0,0,2022
Douglas,NA,NA,NA,NA,2011
Douglas,4.7545722,2.402709702,7.895587911,13,2012
Douglas,5.777905215,3.283637696,8.965365337,17,2013
Douglas,NA,NA,NA,NA,2014
Douglas,NA,NA,NA,NA,2015
Douglas,NA,NA,NA,NA,2016
Douglas,3.977528871,2.084580078,6.471816122,13,2017
Douglas,NA,NA,NA,NA,2018
Douglas,5.3397722,3.11797213,8.149490108,18,2019
Douglas,NA,NA,NA,NA,2020
Douglas,NA,NA,NA,NA,2021
Douglas,NA,NA,NA,NA,2022
Eagle,0,0,0,0,2011
Eagle,0,0,0,0,2012
Eagle,0,0,0,0,2013
Eagle,NA,NA,NA,NA,2014
Eagle,0,0,0,0,2015
Eagle,0,0,0,0,2016
Eagle,NA,NA,NA,NA,2017
Eagle,NA,NA,NA,NA,2018
Eagle,NA,NA,NA,NA,2019
Eagle,0,0,0,0,2020
Eagle,0,0,0,0,2021
Eagle,0,0,0,0,2022
Elbert,NA,NA,NA,NA,2011
Elbert,NA,NA,NA,NA,2012
Elbert,NA,NA,NA,NA,2013
Elbert,NA,NA,NA,NA,2014
Elbert,NA,NA,NA,NA,2015
Elbert,NA,NA,NA,NA,2016
Elbert,0,0,0,0,2017
Elbert,NA,NA,NA,NA,2018
Elbert,NA,NA,NA,NA,2019
Elbert,NA,NA,NA,NA,2020
Elbert,NA,NA,NA,NA,2021
Elbert,NA,NA,NA,NA,2022
El Paso,6.886914988,4.763948689,9.009881287,42,2011
El Paso,5.113938316,3.334560142,6.89331649,33,2012
El Paso,4.197016233,2.591243099,5.802789367,27,2013
El Paso,2.881581977,1.71687949,4.342945656,19,2014
El Paso,5.017244008,3.235931166,6.798556851,32,2015
El Paso,5.508012786,3.715007302,7.30101827,38,2016
El Paso,4.592364773,2.973082723,6.211646824,32,2017
El Paso,6.515871469,4.621601945,8.410140994,48,2018
El Paso,5.298876006,3.561525262,7.03622675,38,2019
El Paso,3.300472399,1.999644505,4.601300293,26,2020
El Paso,4.545599271,3.022250176,6.068948366,36,2021
El Paso,6.100918857,4.233779337,7.968058377,43,2022
Fremont,NA,NA,NA,NA,2011
Fremont,NA,NA,NA,NA,2012
Fremont,NA,NA,NA,NA,2013
Fremont,NA,NA,NA,NA,2014
Fremont,NA,NA,NA,NA,2015
Fremont,NA,NA,NA,NA,2016
Fremont,NA,NA,NA,NA,2017
Fremont,NA,NA,NA,NA,2018
Fremont,NA,NA,NA,NA,2019
Fremont,NA,NA,NA,NA,2020
Fremont,NA,NA,NA,NA,2021
Fremont,NA,NA,NA,NA,2022
Garfield,NA,NA,NA,NA,2011
Garfield,NA,NA,NA,NA,2012
Garfield,0,0,0,0,2013
Garfield,NA,NA,NA,NA,2014
Garfield,NA,NA,NA,NA,2015
Garfield,NA,NA,NA,NA,2016
Garfield,NA,NA,NA,NA,2017
Garfield,NA,NA,NA,NA,2018
Garfield,NA,NA,NA,NA,2019
Garfield,NA,NA,NA,NA,2020
Garfield,NA,NA,NA,NA,2021
Garfield,NA,NA,NA,NA,2022
Gilpin,0,0,0,0,2011
Gilpin,0,0,0,0,2012
Gilpin,0,0,0,0,2013
Gilpin,0,0,0,0,2014
Gilpin,0,0,0,0,2015
Gilpin,0,0,0,0,2016
Gilpin,NA,NA,NA,NA,2017
Gilpin,0,0,0,0,2018
Gilpin,0,0,0,0,2019
Gilpin,NA,NA,NA,NA,2020
Gilpin,0,0,0,0,2021
Gilpin,0,0,0,0,2022
Grand,0,0,0,0,2011
Grand,NA,NA,NA,NA,2012
Grand,0,0,0,0,2013
Grand,0,0,0,0,2014
Grand,0,0,0,0,2015
Grand,0,0,0,0,2016
Grand,NA,NA,NA,NA,2017
Grand,NA,NA,NA,NA,2018
Grand,NA,NA,NA,NA,2019
Grand,0,0,0,0,2020
Grand,0,0,0,0,2021
Grand,0,0,0,0,2022
Gunnison,0,0,0,0,2011
Gunnison,0,0,0,0,2012
Gunnison,0,0,0,0,2013
Gunnison,0,0,0,0,2014
Gunnison,NA,NA,NA,NA,2015
Gunnison,0,0,0,0,2016
Gunnison,NA,NA,NA,NA,2017
Gunnison,0,0,0,0,2018
Gunnison,0,0,0,0,2019
Gunnison,0,0,0,0,2020
Gunnison,NA,NA,NA,NA,2021
Gunnison,0,0,0,0,2022
Hinsdale,0,0,0,0,2011
Hinsdale,0,0,0,0,2012
Hinsdale,0,0,0,0,2013
Hinsdale,0,0,0,0,2014
Hinsdale,0,0,0,0,2015
Hinsdale,0,0,0,0,2016
Hinsdale,0,0,0,0,2017
Hinsdale,0,0,0,0,2018
Hinsdale,0,0,0,0,2019
Hinsdale,0,0,0,0,2020
Hinsdale,0,0,0,0,2021
Hinsdale,0,0,0,0,2022
Huerfano,0,0,0,0,2011
Huerfano,0,0,0,0,2012
Huerfano,NA,NA,NA,NA,2013
Huerfano,NA,NA,NA,NA,2014
Huerfano,0,0,0,0,2015
Huerfano,0,0,0,0,2016
Huerfano,NA,NA,NA,NA,2017
Huerfano,NA,NA,NA,NA,2018
Huerfano,NA,NA,NA,NA,2019
Huerfano,0,0,0,0,2020
Huerfano,0,0,0,0,2021
Huerfano,0,0,0,0,2022
Jackson,0,0,0,0,2011
Jackson,0,0,0,0,2012
Jackson,0,0,0,0,2013
Jackson,0,0,0,0,2014
Jackson,0,0,0,0,2015
Jackson,0,0,0,0,2016
Jackson,0,0,0,0,2017
Jackson,0,0,0,0,2018
Jackson,0,0,0,0,2019
Jackson,NA,NA,NA,NA,2020
Jackson,0,0,0,0,2021
Jackson,0,0,0,0,2022
Jefferson,4.97788259,2.985783398,6.969981782,25,2011
Jefferson,6.326530984,4.142006975,8.511054993,33,2012
Jefferson,4.407675837,2.599062051,6.216289623,24,2013
Jefferson,3.972672594,2.282057566,5.663287622,22,2014
Jefferson,4.50851301,2.700146872,6.316879148,25,2015
Jefferson,7.143788295,4.954733665,9.332842924,43,2016
Jefferson,4.069384844,2.386177905,5.752591784,24,2017
Jefferson,6.330890262,4.2197184,8.442062123,37,2018
Jefferson,4.424847786,2.6267071,6.222988472,24,2019
Jefferson,4.426880441,2.706778975,6.146981906,27,2020
Jefferson,5.69890036,3.766136366,7.631664354,36,2021
Jefferson,4.776363191,2.964999831,6.58772655,28,2022
Kiowa,NA,NA,NA,NA,2011
Kiowa,0,0,0,0,2012
Kiowa,0,0,0,0,2013
Kiowa,0,0,0,0,2014
Kiowa,0,0,0,0,2015
Kiowa,0,0,0,0,2016
Kiowa,0,0,0,0,2017
Kiowa,NA,NA,NA,NA,2018
Kiowa,NA,NA,NA,NA,2019
Kiowa,NA,NA,NA,NA,2020
Kiowa,NA,NA,NA,NA,2021
Kiowa,0,0,0,0,2022
Kit Carson,NA,NA,NA,NA,2011
Kit Carson,0,0,0,0,2012
Kit Carson,0,0,0,0,2013
Kit Carson,0,0,0,0,2014
Kit Carson,NA,NA,NA,NA,2015
Kit Carson,NA,NA,NA,NA,2016
Kit Carson,NA,NA,NA,NA,2017
Kit Carson,NA,NA,NA,NA,2018
Kit Carson,0,0,0,0,2019
Kit Carson,0,0,0,0,2020
Kit Carson,NA,NA,NA,NA,2021
Kit Carson,NA,NA,NA,NA,2022
Lake,0,0,0,0,2011
Lake,0,0,0,0,2012
Lake,NA,NA,NA,NA,2013
Lake,0,0,0,0,2014
Lake,0,0,0,0,2015
Lake,NA,NA,NA,NA,2016
Lake,NA,NA,NA,NA,2017
Lake,0,0,0,0,2018
Lake,0,0,0,0,2019
Lake,0,0,0,0,2020
Lake,0,0,0,0,2021
Lake,0,0,0,0,2022
La Plata,NA,NA,NA,NA,2011
La Plata,0,0,0,0,2012
La Plata,0,0,0,0,2013
La Plata,NA,NA,NA,NA,2014
La Plata,NA,NA,NA,NA,2015
La Plata,NA,NA,NA,NA,2016
La Plata,NA,NA,NA,NA,2017
La Plata,NA,NA,NA,NA,2018
La Plata,NA,NA,NA,NA,2019
La Plata,NA,NA,NA,NA,2020
La Plata,NA,NA,NA,NA,2021
La Plata,NA,NA,NA,NA,2022
Larimer,7.207984188,4.005435838,10.41053254,20,2011
Larimer,7.92713024,4.74599832,11.10826216,25,2012
Larimer,7.119148852,4.029216599,10.2090811,21,2013
Larimer,5.486613348,3.155374482,8.452126509,17,2014
Larimer,10.62776834,7.061020719,14.19451596,36,2015
Larimer,12.45829327,8.577961707,16.33862484,42,2016
Larimer,5.465654088,3.203107662,8.322855478,18,2017
Larimer,11.29910792,7.77764696,14.82056887,42,2018
Larimer,9.102263382,5.861093422,12.34343334,32,2019
Larimer,3.187627957,1.659137579,5.206841112,13,2020
Larimer,7.497914927,4.773384925,10.22244493,31,2021
Larimer,12.2629216,8.549910447,15.97593274,45,2022
Las Animas,0,0,0,0,2011
Las Animas,0,0,0,0,2012
Las Animas,0,0,0,0,2013
Las Animas,0,0,0,0,2014
Las Animas,NA,NA,NA,NA,2015
Las Animas,NA,NA,NA,NA,2016
Las Animas,NA,NA,NA,NA,2017
Las Animas,NA,NA,NA,NA,2018
Las Animas,NA,NA,NA,NA,2019
Las Animas,NA,NA,NA,NA,2020
Las Animas,NA,NA,NA,NA,2021
Las Animas,NA,NA,NA,NA,2022
Lincoln,0,0,0,0,2011
Lincoln,0,0,0,0,2012
Lincoln,NA,NA,NA,NA,2013
Lincoln,0,0,0,0,2014
Lincoln,0,0,0,0,2015
Lincoln,NA,NA,NA,NA,2016
Lincoln,0,0,0,0,2017
Lincoln,0,0,0,0,2018
Lincoln,0,0,0,0,2019
Lincoln,NA,NA,NA,NA,2020
Lincoln,NA,NA,NA,NA,2021
Lincoln,0,0,0,0,2022
Logan,NA,NA,NA,NA,2011
Logan,NA,NA,NA,NA,2012
Logan,NA,NA,NA,NA,2013
Logan,NA,NA,NA,NA,2014
Logan,NA,NA,NA,NA,2015
Logan,NA,NA,NA,NA,2016
Logan,NA,NA,NA,NA,2017
Logan,NA,NA,NA,NA,2018
Logan,58.90483977,30.47284777,96.55015194,13,2019
Logan,NA,NA,NA,NA,2020
Logan,NA,NA,NA,NA,2021
Logan,NA,NA,NA,NA,2022
Mesa,8.023094642,4.214855398,13.03664635,13,2011
Mesa,8.880506672,4.52826227,14.6739084,12,2012
Mesa,14.00038441,7.874362591,20.12640623,21,2013
Mesa,9.669590641,5.018259418,15.82090355,13,2014
Mesa,13.17748783,7.816517267,19.91563319,19,2015
Mesa,18.67837966,11.6851784,25.67158092,29,2016
Mesa,9.078821813,4.867207955,14.58148699,14,2017
Mesa,21.17041104,13.41877917,28.92204291,30,2018
Mesa,12.0079548,7.027493792,18.30077635,18,2019
Mesa,9.080610296,4.843307943,14.62748301,14,2020
Mesa,12.02112391,7.1171239,18.18945994,19,2021
Mesa,9.773429162,5.492859009,15.26700501,17,2022
Mineral,0,0,0,0,2011
Mineral,0,0,0,0,2012
Mineral,0,0,0,0,2013
Mineral,0,0,0,0,2014
Mineral,0,0,0,0,2015
Mineral,0,0,0,0,2016
Mineral,0,0,0,0,2017
Mineral,0,0,0,0,2018
Mineral,0,0,0,0,2019
Mineral,0,0,0,0,2020
Mineral,0,0,0,0,2021
Mineral,0,0,0,0,2022
Moffat,0,0,0,0,2011
Moffat,NA,NA,NA,NA,2012
Moffat,NA,NA,NA,NA,2013
Moffat,0,0,0,0,2014
Moffat,NA,NA,NA,NA,2015
Moffat,NA,NA,NA,NA,2016
Moffat,NA,NA,NA,NA,2017
Moffat,0,0,0,0,2018
Moffat,0,0,0,0,2019
Moffat,0,0,0,0,2020
Moffat,NA,NA,NA,NA,2021
Moffat,NA,NA,NA,NA,2022
Montezuma,0,0,0,0,2011
Montezuma,0,0,0,0,2012
Montezuma,0,0,0,0,2013
Montezuma,0,0,0,0,2014
Montezuma,NA,NA,NA,NA,2015
Montezuma,NA,NA,NA,NA,2016
Montezuma,NA,NA,NA,NA,2017
Montezuma,NA,NA,NA,NA,2018
Montezuma,NA,NA,NA,NA,2019
Montezuma,NA,NA,NA,NA,2020
Montezuma,0,0,0,0,2021
Montezuma,NA,NA,NA,NA,2022
Montrose,0,0,0,0,2011
Montrose,0,0,0,0,2012
Montrose,NA,NA,NA,NA,2013
Montrose,NA,NA,NA,NA,2014
Montrose,0,0,0,0,2015
Montrose,NA,NA,NA,NA,2016
Montrose,NA,NA,NA,NA,2017
Montrose,NA,NA,NA,NA,2018
Montrose,NA,NA,NA,NA,2019
Montrose,NA,NA,NA,NA,2020
Montrose,NA,NA,NA,NA,2021
Montrose,NA,NA,NA,NA,2022
Morgan,0,0,0,0,2011
Morgan,NA,NA,NA,NA,2012
Morgan,NA,NA,NA,NA,2013
Morgan,NA,NA,NA,NA,2014
Morgan,NA,NA,NA,NA,2015
Morgan,NA,NA,NA,NA,2016
Morgan,NA,NA,NA,NA,2017
Morgan,NA,NA,NA,NA,2018
Morgan,NA,NA,NA,NA,2019
Morgan,NA,NA,NA,NA,2020
Morgan,NA,NA,NA,NA,2021
Morgan,36.71647204,17.92073622,62.13947863,11,2022
Otero,0,0,0,0,2011
Otero,NA,NA,NA,NA,2012
Otero,NA,NA,NA,NA,2013
Otero,NA,NA,NA,NA,2014
Otero,NA,NA,NA,NA,2015
Otero,NA,NA,NA,NA,2016
Otero,NA,NA,NA,NA,2017
Otero,NA,NA,NA,NA,2018
Otero,NA,NA,NA,NA,2019
Otero,NA,NA,NA,NA,2020
Otero,NA,NA,NA,NA,2021
Otero,NA,NA,NA,NA,2022
Ouray,0,0,0,0,2011
Ouray,0,0,0,0,2012
Ouray,0,0,0,0,2013
Ouray,0,0,0,0,2014
Ouray,0,0,0,0,2015
Ouray,0,0,0,0,2016
Ouray,0,0,0,0,2017
Ouray,0,0,0,0,2018
Ouray,0,0,0,0,2019
Ouray,0,0,0,0,2020
Ouray,0,0,0,0,2021
Ouray,NA,NA,NA,NA,2022
Park,0,0,0,0,2011
Park,0,0,0,0,2012
Park,0,0,0,0,2013
Park,NA,NA,NA,NA,2014
Park,0,0,0,0,2015
Park,0,0,0,0,2016
Park,0,0,0,0,2017
Park,0,0,0,0,2018
Park,0,0,0,0,2019
Park,NA,NA,NA,NA,2020
Park,0,0,0,0,2021
Park,0,0,0,0,2022
Phillips,0,0,0,0,2011
Phillips,0,0,0,0,2012
Phillips,0,0,0,0,2013
Phillips,NA,NA,NA,NA,2014
Phillips,NA,NA,NA,NA,2015
Phillips,0,0,0,0,2016
Phillips,0,0,0,0,2017
Phillips,0,0,0,0,2018
Phillips,NA,NA,NA,NA,2019
Phillips,0,0,0,0,2020
Phillips,0,0,0,0,2021
Phillips,0,0,0,0,2022
Pitkin,NA,NA,NA,NA,2011
Pitkin,0,0,0,0,2012
Pitkin,0,0,0,0,2013
Pitkin,0,0,0,0,2014
Pitkin,0,0,0,0,2015
Pitkin,0,0,0,0,2016
Pitkin,0,0,0,0,2017
Pitkin,0,0,0,0,2018
Pitkin,0,0,0,0,2019
Pitkin,0,0,0,0,2020
Pitkin,NA,NA,NA,NA,2021
Pitkin,NA,NA,NA,NA,2022
Prowers,NA,NA,NA,NA,2011
Prowers,NA,NA,NA,NA,2012
Prowers,NA,NA,NA,NA,2013
Prowers,NA,NA,NA,NA,2014
Prowers,0,0,0,0,2015
Prowers,89.27539894,43.39806476,151.4198548,11,2016
Prowers,NA,NA,NA,NA,2017
Prowers,NA,NA,NA,NA,2018
Prowers,NA,NA,NA,NA,2019
Prowers,NA,NA,NA,NA,2020
Prowers,NA,NA,NA,NA,2021
Prowers,NA,NA,NA,NA,2022
Pueblo,15.08104408,8.769962414,21.39212575,23,2011
Pueblo,16.26618219,9.894995807,22.63736858,26,2012
Pueblo,17.42787528,10.76371524,24.09203532,27,2013
Pueblo,17.28319863,10.48134928,24.08504799,26,2014
Pueblo,18.10678773,11.33587975,24.8776957,29,2015
Pueblo,23.11192526,15.45846158,30.76538894,37,2016
Pueblo,18.30050449,11.30734833,25.29366065,28,2017
Pueblo,21.72558057,14.31359779,29.13756334,36,2018
Pueblo,13.20794008,7.513542339,18.90233783,22,2019
Pueblo,17.79896059,11.00153278,24.5963884,28,2020
Pueblo,15.89090956,9.541646947,22.24017218,26,2021
Pueblo,17.42469654,10.81110073,24.03829235,28,2022
Rio Blanco,0,0,0,0,2011
Rio Blanco,0,0,0,0,2012
Rio Blanco,0,0,0,0,2013
Rio Blanco,0,0,0,0,2014
Rio Blanco,0,0,0,0,2015
Rio Blanco,NA,NA,NA,NA,2016
Rio Blanco,0,0,0,0,2017
Rio Blanco,NA,NA,NA,NA,2018
Rio Blanco,0,0,0,0,2019
Rio Blanco,NA,NA,NA,NA,2020
Rio Blanco,NA,NA,NA,NA,2021
Rio Blanco,0,0,0,0,2022
Rio Grande,0,0,0,0,2011
Rio Grande,NA,NA,NA,NA,2012
Rio Grande,NA,NA,NA,NA,2013
Rio Grande,NA,NA,NA,NA,2014
Rio Grande,0,0,0,0,2015
Rio Grande,NA,NA,NA,NA,2016
Rio Grande,0,0,0,0,2017
Rio Grande,0,0,0,0,2018
Rio Grande,0,0,0,0,2019
Rio Grande,NA,NA,NA,NA,2020
Rio Grande,0,0,0,0,2021
Rio Grande,0,0,0,0,2022
Routt,0,0,0,0,2011
Routt,0,0,0,0,2012
Routt,0,0,0,0,2013
Routt,0,0,0,0,2014
Routt,0,0,0,0,2015
Routt,NA,NA,NA,NA,2016
Routt,0,0,0,0,2017
Routt,NA,NA,NA,NA,2018
Routt,NA,NA,NA,NA,2019
Routt,0,0,0,0,2020
Routt,NA,NA,NA,NA,2021
Routt,NA,NA,NA,NA,2022
Saguache,0,0,0,0,2011
Saguache,0,0,0,0,2012
Saguache,0,0,0,0,2013
Saguache,NA,NA,NA,NA,2014
Saguache,NA,NA,NA,NA,2015
Saguache,0,0,0,0,2016
Saguache,NA,NA,NA,NA,2017
Saguache,NA,NA,NA,NA,2018
Saguache,NA,NA,NA,NA,2019
Saguache,0,0,0,0,2020
Saguache,0,0,0,0,2021
Saguache,0,0,0,0,2022
San Juan,0,0,0,0,2011
San Juan,0,0,0,0,2012
San Juan,0,0,0,0,2013
San Juan,0,0,0,0,2014
San Juan,0,0,0,0,2015
San Juan,0,0,0,0,2016
San Juan,0,0,0,0,2017
San Juan,0,0,0,0,2018
San Juan,0,0,0,0,2019
San Juan,0,0,0,0,2020
San Juan,0,0,0,0,2021
San Juan,0,0,0,0,2022
San Miguel,0,0,0,0,2011
San Miguel,0,0,0,0,2012
San Miguel,NA,NA,NA,NA,2013
San Miguel,0,0,0,0,2014
San Miguel,0,0,0,0,2015
San Miguel,0,0,0,0,2016
San Miguel,0,0,0,0,2017
San Miguel,0,0,0,0,2018
San Miguel,0,0,0,0,2019
San Miguel,0,0,0,0,2020
San Miguel,0,0,0,0,2021
San Miguel,0,0,0,0,2022
Sedgwick,0,0,0,0,2011
Sedgwick,0,0,0,0,2012
Sedgwick,0,0,0,0,2013
Sedgwick,0,0,0,0,2014
Sedgwick,NA,NA,NA,NA,2015
Sedgwick,NA,NA,NA,NA,2016
Sedgwick,NA,NA,NA,NA,2017
Sedgwick,NA,NA,NA,NA,2018
Sedgwick,0,0,0,0,2019
